Date And Time, Log Entry
"[3/6/18 6:00:31:586 UTC]"," 0000091e FTPUtil                                                      I B2BXFormLog: FTPUtil: getRemoteFiles:  Retrieving remote file: EPDF.DE.S006WGVA5H.6803144625.20180305.C.E.PDF._.P._.DSW_Signed.PDF 
 " 
"[3/6/18 6:00:32:291 UTC]"," 0000091e FTPUtil                                                      I B2BXFormLog: FTPUtil: getRemoteFiles:  Retrieving remote file: EPDF.DE.S006WGVA5H.6802776249.20180305.D.E.PDF._.P._.DSW_Signed.PDF 
 " 
"[3/6/18 6:00:32:838 UTC]"," 0000091e FTPUtil                                                      I B2BXFormLog: FTPUtil: getRemoteFiles:  Retrieving remote file: EPDF.DE.S007634TM7.6802776245.20180305.D.E.PDF._.P._.DSW_Signed.PDF 
 " 
"[3/6/18 6:00:33:320 UTC]"," 0000091e FTPUtil                                                      I B2BXFormLog: FTPUtil: getRemoteFiles:  Retrieving remote file: EPDF.DE.S0064PJKNE.6802776246.20180305.D.E.PDF._.P._.DSW_Signed.PDF 
 " 
"[3/6/18 6:00:33:847 UTC]"," 0000091e FTPUtil                                                      I B2BXFormLog: FTPUtil: getRemoteFiles:  Retrieving remote file: EPDF.DE.S007634TM7.6803144627.20180305.C.E.PDF._.P._.DSW_Signed.PDF 
 " 
"[3/6/18 6:00:34:370 UTC]"," 0000091e FTPUtil                                                      I B2BXFormLog: FTPUtil: getRemoteFiles:  Retrieving remote file: EPDF.DE.S0064PJKNE.6803144626.20180305.C.E.PDF._.P._.DSW_Signed.PDF 
 " 
"[3/6/18 6:00:34:827 UTC]"," 0000091e FTPUtil                                                      I B2BXFormLog: FTPUtil: getRemoteFiles:  Retrieving remote file: EPDF.DE.S006WGVA5H.6803144635.20180305.C.E.PDF._.P._.HDW_Signed.PDF 
 " 
"[3/6/18 6:00:35:477 UTC]"," 0000091e FTPUtil                                                      I B2BXFormLog: FTPUtil: getRemoteFiles:  Retrieving remote file: EPDF.DE.S006WGVA5H.6802776257.20180305.D.E.PDF._.P._.SVC_Signed.PDF 
 " 
"[3/6/18 6:00:41:733 UTC]"," 00000938 ManageEPDFInvoiceAck                                         E B2BXFormLog: ManageEPDFInvoiceAck: pubStatusMsg:  java.lang.NullPointerException 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.update(InvRptCloudDB.java:634) 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.create(InvRptCloudDB.java:585) 
 	at com.ibm.b2b.invoice.cloudant.helper.InvoiceStatusCRUDOperations.create(InvoiceStatusCRUDOperations.java:492) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.pubStatusMsg(ManageEPDFInvoiceAck.java:199) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processAckMsg(ManageEPDFInvoiceAck.java:122) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processFile(ManageEPDFInvoiceAck.java:93) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.run(ManageEPDFInvoiceAck.java:66) 
 	at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source) 
 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source) 
 	at java.lang.Thread.run(Unknown Source) 
  
 " 
"[3/6/18 6:00:41:758 UTC]"," 0000094e ManageEPDFInvoiceAck                                         E B2BXFormLog: ManageEPDFInvoiceAck: pubStatusMsg:  java.lang.NullPointerException 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.update(InvRptCloudDB.java:634) 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.create(InvRptCloudDB.java:585) 
 	at com.ibm.b2b.invoice.cloudant.helper.InvoiceStatusCRUDOperations.create(InvoiceStatusCRUDOperations.java:492) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.pubStatusMsg(ManageEPDFInvoiceAck.java:199) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processAckMsg(ManageEPDFInvoiceAck.java:122) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processFile(ManageEPDFInvoiceAck.java:93) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.run(ManageEPDFInvoiceAck.java:66) 
 	at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source) 
 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source) 
 	at java.lang.Thread.run(Unknown Source) 
  
 " 
"[3/6/18 6:00:41:858 UTC]"," 00000951 ManageEPDFInvoiceAck                                         E B2BXFormLog: ManageEPDFInvoiceAck: pubStatusMsg:  java.lang.NullPointerException 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.update(InvRptCloudDB.java:634) 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.create(InvRptCloudDB.java:585) 
 	at com.ibm.b2b.invoice.cloudant.helper.InvoiceStatusCRUDOperations.create(InvoiceStatusCRUDOperations.java:492) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.pubStatusMsg(ManageEPDFInvoiceAck.java:199) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processAckMsg(ManageEPDFInvoiceAck.java:122) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processFile(ManageEPDFInvoiceAck.java:93) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.run(ManageEPDFInvoiceAck.java:66) 
 	at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source) 
 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source) 
 	at java.lang.Thread.run(Unknown Source) 
  
 " 
"[3/6/18 6:00:41:870 UTC]"," 0000092e ManageEPDFInvoiceAck                                         E B2BXFormLog: ManageEPDFInvoiceAck: pubStatusMsg:  java.lang.NullPointerException 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.update(InvRptCloudDB.java:634) 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.create(InvRptCloudDB.java:585) 
 	at com.ibm.b2b.invoice.cloudant.helper.InvoiceStatusCRUDOperations.create(InvoiceStatusCRUDOperations.java:492) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.pubStatusMsg(ManageEPDFInvoiceAck.java:199) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processAckMsg(ManageEPDFInvoiceAck.java:122) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processFile(ManageEPDFInvoiceAck.java:93) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.run(ManageEPDFInvoiceAck.java:66) 
 	at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source) 
 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source) 
 	at java.lang.Thread.run(Unknown Source) 
  
 " 
"[3/6/18 6:00:41:874 UTC]"," 0000092b ManageEPDFInvoiceAck                                         E B2BXFormLog: ManageEPDFInvoiceAck: pubStatusMsg:  java.lang.NullPointerException 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.update(InvRptCloudDB.java:634) 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.create(InvRptCloudDB.java:585) 
 	at com.ibm.b2b.invoice.cloudant.helper.InvoiceStatusCRUDOperations.create(InvoiceStatusCRUDOperations.java:492) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.pubStatusMsg(ManageEPDFInvoiceAck.java:199) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processAckMsg(ManageEPDFInvoiceAck.java:122) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processFile(ManageEPDFInvoiceAck.java:93) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.run(ManageEPDFInvoiceAck.java:66) 
 	at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source) 
 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source) 
 	at java.lang.Thread.run(Unknown Source) 
  
 " 
"[3/6/18 6:00:41:882 UTC]"," 00000949 com.cloudant.client.api.Database                             W Index already exists : '{""name"":""InvoiceStatusInfo1"",""ddoc"":""InviceStatusInfo1"",""index"":{""fields"":[{""statusMsg"":""asc""}]}}' 
 " 
"[3/6/18 6:00:41:899 UTC]"," 0000093b ManageEPDFInvoiceAck                                         E B2BXFormLog: ManageEPDFInvoiceAck: pubStatusMsg:  java.lang.NullPointerException 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.update(InvRptCloudDB.java:634) 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.create(InvRptCloudDB.java:585) 
 	at com.ibm.b2b.invoice.cloudant.helper.InvoiceStatusCRUDOperations.create(InvoiceStatusCRUDOperations.java:492) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.pubStatusMsg(ManageEPDFInvoiceAck.java:199) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processAckMsg(ManageEPDFInvoiceAck.java:122) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processFile(ManageEPDFInvoiceAck.java:93) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.run(ManageEPDFInvoiceAck.java:66) 
 	at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source) 
 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source) 
 	at java.lang.Thread.run(Unknown Source) 
  
 " 
"[3/6/18 6:00:41:931 UTC]"," 00000928 ManageEPDFInvoiceAck                                         E B2BXFormLog: ManageEPDFInvoiceAck: pubStatusMsg:  java.lang.NullPointerException 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.update(InvRptCloudDB.java:634) 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.create(InvRptCloudDB.java:585) 
 	at com.ibm.b2b.invoice.cloudant.helper.InvoiceStatusCRUDOperations.create(InvoiceStatusCRUDOperations.java:492) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.pubStatusMsg(ManageEPDFInvoiceAck.java:199) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processAckMsg(ManageEPDFInvoiceAck.java:122) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processFile(ManageEPDFInvoiceAck.java:93) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.run(ManageEPDFInvoiceAck.java:66) 
 	at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source) 
 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source) 
 	at java.lang.Thread.run(Unknown Source) 
  
 " 
"[3/6/18 6:00:41:942 UTC]"," 0000094a com.cloudant.client.api.Database                             W Index already exists : '{""name"":""InvoiceStatusInfo1"",""ddoc"":""InviceStatusInfo1"",""index"":{""fields"":[{""statusMsg"":""asc""}]}}' 
 " 
"[3/6/18 6:00:41:960 UTC]"," 0000093f ManageEPDFInvoiceAck                                         E B2BXFormLog: ManageEPDFInvoiceAck: pubStatusMsg:  java.lang.NullPointerException 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.update(InvRptCloudDB.java:634) 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.create(InvRptCloudDB.java:585) 
 	at com.ibm.b2b.invoice.cloudant.helper.InvoiceStatusCRUDOperations.create(InvoiceStatusCRUDOperations.java:492) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.pubStatusMsg(ManageEPDFInvoiceAck.java:199) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processAckMsg(ManageEPDFInvoiceAck.java:122) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processFile(ManageEPDFInvoiceAck.java:93) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.run(ManageEPDFInvoiceAck.java:66) 
 	at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source) 
 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source) 
 	at java.lang.Thread.run(Unknown Source) 
  
 " 
"[3/6/18 6:00:41:985 UTC]"," 00000959 ManageEPDFInvoiceAck                                         E B2BXFormLog: ManageEPDFInvoiceAck: pubStatusMsg:  java.lang.NullPointerException 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.update(InvRptCloudDB.java:634) 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.create(InvRptCloudDB.java:585) 
 	at com.ibm.b2b.invoice.cloudant.helper.InvoiceStatusCRUDOperations.create(InvoiceStatusCRUDOperations.java:492) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.pubStatusMsg(ManageEPDFInvoiceAck.java:199) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processAckMsg(ManageEPDFInvoiceAck.java:122) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processFile(ManageEPDFInvoiceAck.java:93) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.run(ManageEPDFInvoiceAck.java:66) 
 	at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source) 
 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source) 
 	at java.lang.Thread.run(Unknown Source) 
  
 " 
"[3/6/18 6:00:42:011 UTC]"," 00000927 ManageEPDFInvoiceAck                                         E B2BXFormLog: ManageEPDFInvoiceAck: pubStatusMsg:  java.lang.NullPointerException 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.update(InvRptCloudDB.java:634) 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.create(InvRptCloudDB.java:585) 
 	at com.ibm.b2b.invoice.cloudant.helper.InvoiceStatusCRUDOperations.create(InvoiceStatusCRUDOperations.java:492) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.pubStatusMsg(ManageEPDFInvoiceAck.java:199) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processAckMsg(ManageEPDFInvoiceAck.java:122) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processFile(ManageEPDFInvoiceAck.java:93) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.run(ManageEPDFInvoiceAck.java:66) 
 	at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source) 
 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source) 
 	at java.lang.Thread.run(Unknown Source) 
  
 " 
"[3/6/18 6:00:42:028 UTC]"," 0000095d ManageEPDFInvoiceAck                                         E B2BXFormLog: ManageEPDFInvoiceAck: pubStatusMsg:  java.lang.NullPointerException 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.update(InvRptCloudDB.java:634) 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.create(InvRptCloudDB.java:585) 
 	at com.ibm.b2b.invoice.cloudant.helper.InvoiceStatusCRUDOperations.create(InvoiceStatusCRUDOperations.java:492) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.pubStatusMsg(ManageEPDFInvoiceAck.java:199) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processAckMsg(ManageEPDFInvoiceAck.java:122) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processFile(ManageEPDFInvoiceAck.java:93) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.run(ManageEPDFInvoiceAck.java:66) 
 	at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source) 
 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source) 
 	at java.lang.Thread.run(Unknown Source) 
  
 " 
"[3/6/18 6:00:42:069 UTC]"," 00000936 ManageEPDFInvoiceAck                                         E B2BXFormLog: ManageEPDFInvoiceAck: pubStatusMsg:  java.lang.NullPointerException 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.update(InvRptCloudDB.java:634) 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.create(InvRptCloudDB.java:585) 
 	at com.ibm.b2b.invoice.cloudant.helper.InvoiceStatusCRUDOperations.create(InvoiceStatusCRUDOperations.java:492) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.pubStatusMsg(ManageEPDFInvoiceAck.java:199) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processAckMsg(ManageEPDFInvoiceAck.java:122) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processFile(ManageEPDFInvoiceAck.java:93) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.run(ManageEPDFInvoiceAck.java:66) 
 	at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source) 
 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source) 
 	at java.lang.Thread.run(Unknown Source) 
  
 " 
"[3/6/18 6:00:42:080 UTC]"," 0000095b ManageEPDFInvoiceAck                                         E B2BXFormLog: ManageEPDFInvoiceAck: pubStatusMsg:  java.lang.NullPointerException 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.update(InvRptCloudDB.java:634) 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.create(InvRptCloudDB.java:585) 
 	at com.ibm.b2b.invoice.cloudant.helper.InvoiceStatusCRUDOperations.create(InvoiceStatusCRUDOperations.java:492) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.pubStatusMsg(ManageEPDFInvoiceAck.java:199) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processAckMsg(ManageEPDFInvoiceAck.java:122) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processFile(ManageEPDFInvoiceAck.java:93) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.run(ManageEPDFInvoiceAck.java:66) 
 	at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source) 
 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source) 
 	at java.lang.Thread.run(Unknown Source) 
  
 " 
"[3/6/18 6:00:42:104 UTC]"," 0000095e ManageEPDFInvoiceAck                                         E B2BXFormLog: ManageEPDFInvoiceAck: pubStatusMsg:  java.lang.NullPointerException 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.update(InvRptCloudDB.java:634) 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.create(InvRptCloudDB.java:585) 
 	at com.ibm.b2b.invoice.cloudant.helper.InvoiceStatusCRUDOperations.create(InvoiceStatusCRUDOperations.java:492) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.pubStatusMsg(ManageEPDFInvoiceAck.java:199) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processAckMsg(ManageEPDFInvoiceAck.java:122) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processFile(ManageEPDFInvoiceAck.java:93) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.run(ManageEPDFInvoiceAck.java:66) 
 	at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source) 
 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source) 
 	at java.lang.Thread.run(Unknown Source) 
  
 " 
"[3/6/18 6:00:42:152 UTC]"," 0000092b ManageEPDFInvoiceAck                                         E B2BXFormLog: ManageEPDFInvoiceAck: pubStatusMsg:  java.lang.NullPointerException 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.update(InvRptCloudDB.java:634) 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.create(InvRptCloudDB.java:585) 
 	at com.ibm.b2b.invoice.cloudant.helper.InvoiceStatusCRUDOperations.create(InvoiceStatusCRUDOperations.java:492) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.pubStatusMsg(ManageEPDFInvoiceAck.java:199) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processAckMsg(ManageEPDFInvoiceAck.java:123) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processFile(ManageEPDFInvoiceAck.java:93) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.run(ManageEPDFInvoiceAck.java:66) 
 	at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source) 
 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source) 
 	at java.lang.Thread.run(Unknown Source) 
  
 " 
"[3/6/18 6:00:42:155 UTC]"," 00000937 ManageEPDFInvoiceAck                                         E B2BXFormLog: ManageEPDFInvoiceAck: pubStatusMsg:  java.lang.NullPointerException 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.update(InvRptCloudDB.java:634) 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.create(InvRptCloudDB.java:585) 
 	at com.ibm.b2b.invoice.cloudant.helper.InvoiceStatusCRUDOperations.create(InvoiceStatusCRUDOperations.java:492) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.pubStatusMsg(ManageEPDFInvoiceAck.java:199) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processAckMsg(ManageEPDFInvoiceAck.java:122) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processFile(ManageEPDFInvoiceAck.java:93) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.run(ManageEPDFInvoiceAck.java:66) 
 	at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source) 
 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source) 
 	at java.lang.Thread.run(Unknown Source) 
  
 " 
"[3/6/18 6:00:42:162 UTC]"," 00000929 ManageEPDFInvoiceAck                                         E B2BXFormLog: ManageEPDFInvoiceAck: pubStatusMsg:  java.lang.NullPointerException 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.update(InvRptCloudDB.java:634) 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.create(InvRptCloudDB.java:585) 
 	at com.ibm.b2b.invoice.cloudant.helper.InvoiceStatusCRUDOperations.create(InvoiceStatusCRUDOperations.java:492) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.pubStatusMsg(ManageEPDFInvoiceAck.java:199) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processAckMsg(ManageEPDFInvoiceAck.java:122) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processFile(ManageEPDFInvoiceAck.java:93) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.run(ManageEPDFInvoiceAck.java:66) 
 	at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source) 
 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source) 
 	at java.lang.Thread.run(Unknown Source) 
  
 " 
"[3/6/18 6:00:42:165 UTC]"," 00000933 ManageEPDFInvoiceAck                                         E B2BXFormLog: ManageEPDFInvoiceAck: pubStatusMsg:  java.lang.NullPointerException 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.update(InvRptCloudDB.java:634) 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.create(InvRptCloudDB.java:585) 
 	at com.ibm.b2b.invoice.cloudant.helper.InvoiceStatusCRUDOperations.create(InvoiceStatusCRUDOperations.java:492) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.pubStatusMsg(ManageEPDFInvoiceAck.java:199) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processAckMsg(ManageEPDFInvoiceAck.java:122) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processFile(ManageEPDFInvoiceAck.java:93) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.run(ManageEPDFInvoiceAck.java:66) 
 	at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source) 
 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source) 
 	at java.lang.Thread.run(Unknown Source) 
  
 " 
"[3/6/18 6:00:42:174 UTC]"," 0000094e ManageEPDFInvoiceAck                                         E B2BXFormLog: ManageEPDFInvoiceAck: pubStatusMsg:  java.lang.NullPointerException 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.update(InvRptCloudDB.java:634) 
 	at com.ibm.b2b.cloudant.helper.InvRptCloudDB.create(InvRptCloudDB.java:585) 
 	at com.ibm.b2b.invoice.cloudant.helper.InvoiceStatusCRUDOperations.create(InvoiceStatusCRUDOperations.java:492) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.pubStatusMsg(ManageEPDFInvoiceAck.java:199) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processAckMsg(ManageEPDFInvoiceAck.java:123) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.processFile(ManageEPDFInvoiceAck.java:93) 
 	at com.ibm.b2b.batchservices.invoice.ManageEPDFInvoiceAck.run(ManageEPDFInvoiceAck.java:66) 
 	at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source) 
 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source) 
 	at java.lang.Thread.run(Unknown Source) 
  
 " 
"[3/6/18 6:00:42:261 UTC]"," 0000095a com.cloudant.client.api.Database                             W Index already exists : '{""name"":""InvoiceStatusInfo1"",""ddoc"":""InviceStatusInfo1"",""index"":{""fields"":[{""statusMsg"":""asc""}]}}' 
 " 
